Antibody	Virus	GeoMean_IC50	Threshold	Label_0/1	Label_Sensitive/Resistant
3BNC117	V704_1109 (BF1)	20	50	1	resistant
3BNC117	1209_BM_A5	25	0.2	1	resistant
3BNC117	1209_BM_A5	25	1	1	resistant
3BNC117	1209_BM_A5	25	50	1	resistant
N6	98050	0.198	0.2	0	sensitive
N6	98050	0.198	1	0	sensitive
N6	98050	0.198	50	0	sensitive
N6	AD17 (B) XW	0.124	0.2	0	sensitive
N6	AD17 (B) XW	0.124	1	0	sensitive
N6	AD17 (B) XW	0.124	50	0	sensitive
N6	AD355_m2_1 (B)	0.465	0.2	1	resistant
N6	AD355_m2_1 (B)	0.465	1	0	sensitive
N6	AD355_m2_1 (B)	0.465	50	0	sensitive
N6	AD358_m2_1 (B)	0.633	0.2	1	resistant
N6	AD358_m2_1 (B)	0.633	1	0	sensitive
N6	AD358_m2_1 (B)	0.633	50	0	sensitive
N6	AD360_m6_22 (B)	0.13	0.2	0	sensitive
N6	AD360_m6_22 (B)	0.13	1	0	sensitive
N6	AD360_m6_22 (B)	0.13	50	0	sensitive
N6	AD414_m9_14 (B)	0.025	0.2	0	sensitive
N6	AD414_m9_14 (B)	0.025	1	0	sensitive
N6	AD414_m9_14 (B)	0.025	50	0	sensitive
N6	AD415_m9_14 (B)	0.042	0.2	0	sensitive
N6	AD415_m9_14 (B)	0.042	1	0	sensitive
N6	AD415_m9_14 (B)	0.042	50	0	sensitive
N6	CRF02_AG_271 (CRF02_AG) XW	0.017	0.2	0	sensitive
N6	CRF02_AG_271 (CRF02_AG) XW	0.017	1	0	sensitive
N6	CRF02_AG_271 (CRF02_AG) XW	0.017	50	0	sensitive
N6	V703_0455_160	20	0.2	1	resistant
N6	V703_0455_160	20	1	1	resistant
N6	V703_0455_160	20	50	1	resistant
N6	V704_1109 (BF1)	0.415	0.2	1	resistant
N6	V704_1109 (BF1)	0.415	1	0	sensitive
N6	V704_1109 (BF1)	0.415	50	0	sensitive
N6	1209_BM_A5	7.35	0.2	1	resistant
N6	1209_BM_A5	7.35	1	1	resistant
N6	1209_BM_A5	7.35	50	0	sensitive
PGDM1400	98050	20	0.2	1	resistant
PGDM1400	98050	20	1	1	resistant
PGDM1400	98050	20	50	1	resistant
PGDM1400	AD17 (B) XW	0.801	0.2	1	resistant
PGDM1400	AD17 (B) XW	0.801	1	0	sensitive
PGDM1400	AD17 (B) XW	0.801	50	0	sensitive
PGDM1400	AD355_m2_1 (B)	20	0.2	1	resistant
PGDM1400	AD355_m2_1 (B)	20	1	1	resistant
PGDM1400	AD355_m2_1 (B)	20	50	1	resistant
PGDM1400	AD358_m2_1 (B)	1.996	0.2	1	resistant
PGDM1400	AD358_m2_1 (B)	1.996	1	1	resistant
PGDM1400	AD358_m2_1 (B)	1.996	50	0	sensitive
PGDM1400	AD360_m6_22 (B)	4.356	0.2	1	resistant
PGDM1400	AD360_m6_22 (B)	4.356	1	1	resistant
PGDM1400	AD360_m6_22 (B)	4.356	50	0	sensitive
PGDM1400	AD414_m9_14 (B)	5.294	0.2	1	resistant
PGDM1400	AD414_m9_14 (B)	5.294	1	1	resistant
PGDM1400	AD414_m9_14 (B)	5.294	50	0	sensitive
PGDM1400	AD415_m9_14 (B)	20	0.2	1	resistant
PGDM1400	AD415_m9_14 (B)	20	1	1	resistant
PGDM1400	AD415_m9_14 (B)	20	50	1	resistant
PGDM1400	CRF02_AG_271 (CRF02_AG) XW	0.01	0.2	0	sensitive
PGDM1400	CRF02_AG_271 (CRF02_AG) XW	0.01	1	0	sensitive
PGDM1400	CRF02_AG_271 (CRF02_AG) XW	0.01	50	0	sensitive
PGDM1400	V703_0455_160	20	0.2	1	resistant
PGDM1400	V703_0455_160	20	1	1	resistant
PGDM1400	V703_0455_160	20	50	1	resistant
PGDM1400	V704_1109 (BF1)	1.45	0.2	1	resistant
PGDM1400	V704_1109 (BF1)	1.45	1	1	resistant
PGDM1400	V704_1109 (BF1)	1.45	50	0	sensitive
PGDM1400	1209_BM_A5	25	0.2	1	resistant
PGDM1400	1209_BM_A5	25	1	1	resistant
PGDM1400	1209_BM_A5	25	50	1	resistant
PGT121	98050	20	0.2	1	resistant
PGT121	98050	20	1	1	resistant
PGT121	98050	20	50	1	resistant
PGT121	AD17 (B) XW	0.027	0.2	0	sensitive
PGT121	AD17 (B) XW	0.027	1	0	sensitive
PGT121	AD17 (B) XW	0.027	50	0	sensitive
PGT121	AD355_m2_1 (B)	0.065	0.2	0	sensitive
PGT121	AD355_m2_1 (B)	0.065	1	0	sensitive
PGT121	AD355_m2_1 (B)	0.065	50	0	sensitive
PGT121	AD358_m2_1 (B)	0.709	0.2	1	resistant
PGT121	AD358_m2_1 (B)	0.709	1	0	sensitive
PGT121	AD358_m2_1 (B)	0.709	50	0	sensitive
PGT121	AD360_m6_22 (B)	7.76	0.2	1	resistant
PGT121	AD360_m6_22 (B)	7.76	1	1	resistant
PGT121	AD360_m6_22 (B)	7.76	50	0	sensitive
PGT121	AD414_m9_14 (B)	0.461	0.2	1	resistant
PGT121	AD414_m9_14 (B)	0.461	1	0	sensitive
PGT121	AD414_m9_14 (B)	0.461	50	0	sensitive
PGT121	AD415_m9_14 (B)	20	0.2	1	resistant
PGT121	AD415_m9_14 (B)	20	1	1	resistant
PGT121	AD415_m9_14 (B)	20	50	1	resistant
PGT121	CRF02_AG_271 (CRF02_AG) XW	7.556	0.2	1	resistant
PGT121	CRF02_AG_271 (CRF02_AG) XW	7.556	1	1	resistant
PGT121	CRF02_AG_271 (CRF02_AG) XW	7.556	50	0	sensitive
PGT121	V703_0455_160	20	0.2	1	resistant
PGT121	V703_0455_160	20	1	1	resistant
PGT121	V703_0455_160	20	50	1	resistant
PGT121	V704_1109 (BF1)	20	0.2	1	resistant
PGT121	V704_1109 (BF1)	20	1	1	resistant
PGT121	V704_1109 (BF1)	20	50	1	resistant
PGT121	1209_BM_A5	25	0.2	1	resistant
PGT121	1209_BM_A5	25	1	1	resistant
PGT121	1209_BM_A5	25	50	1	resistant
PGT145	98050	0.632	0.2	1	resistant
PGT145	98050	0.632	1	0	sensitive
PGT145	98050	0.632	50	0	sensitive
PGT145	AD17 (B) XW	0.082	0.2	0	sensitive
PGT145	AD17 (B) XW	0.082	1	0	sensitive
PGT145	AD17 (B) XW	0.082	50	0	sensitive
PGT145	AD355_m2_1 (B)	20	0.2	1	resistant
PGT145	AD355_m2_1 (B)	20	1	1	resistant
PGT145	AD355_m2_1 (B)	20	50	1	resistant
PGT145	AD358_m2_1 (B)	0.076	0.2	0	sensitive
PGT145	AD358_m2_1 (B)	0.076	1	0	sensitive
PGT145	AD358_m2_1 (B)	0.076	50	0	sensitive
PGT145	AD360_m6_22 (B)	0.034	0.2	0	sensitive
PGT145	AD360_m6_22 (B)	0.034	1	0	sensitive
PGT145	AD360_m6_22 (B)	0.034	50	0	sensitive
PGT145	AD414_m9_14 (B)	20	0.2	1	resistant
PGT145	AD414_m9_14 (B)	20	1	1	resistant
PGT145	AD414_m9_14 (B)	20	50	1	resistant
PGT145	AD415_m9_14 (B)	20	0.2	1	resistant
PGT145	AD415_m9_14 (B)	20	1	1	resistant
PGT145	AD415_m9_14 (B)	20	50	1	resistant
PGT145	CRF02_AG_271 (CRF02_AG) XW	40	0.2	1	resistant
PGT145	CRF02_AG_271 (CRF02_AG) XW	40	1	1	resistant
PGT145	CRF02_AG_271 (CRF02_AG) XW	40	50	1	resistant
PGT145	V703_0455_160	20	0.2	1	resistant
PGT145	V703_0455_160	20	1	1	resistant
PGT145	V703_0455_160	20	50	1	resistant
PGT145	V704_1109 (BF1)	0.181	0.2	0	sensitive
PGT145	V704_1109 (BF1)	0.181	1	0	sensitive
PGT145	V704_1109 (BF1)	0.181	50	0	sensitive
PGT145	1209_BM_A5	25	0.2	1	resistant
PGT145	1209_BM_A5	25	1	1	resistant
PGT145	1209_BM_A5	25	50	1	resistant
SF12	98050	0.441	0.2	1	resistant
SF12	98050	0.441	1	0	sensitive
SF12	98050	0.441	50	0	sensitive
SF12	AD17 (B) XW	2.025	0.2	1	resistant
SF12	AD17 (B) XW	2.025	1	1	resistant
SF12	AD17 (B) XW	2.025	50	0	sensitive
SF12	AD355_m2_1 (B)	20	0.2	1	resistant
SF12	AD355_m2_1 (B)	20	1	1	resistant
SF12	AD355_m2_1 (B)	20	50	1	resistant
SF12	AD358_m2_1 (B)	0.596	0.2	1	resistant
SF12	AD358_m2_1 (B)	0.596	1	0	sensitive
SF12	AD358_m2_1 (B)	0.596	50	0	sensitive
SF12	AD360_m6_22 (B)	20	0.2	1	resistant
SF12	AD360_m6_22 (B)	20	1	1	resistant
SF12	AD360_m6_22 (B)	20	50	1	resistant
SF12	AD414_m9_14 (B)	1.728	0.2	1	resistant
SF12	AD414_m9_14 (B)	1.728	1	1	resistant
SF12	AD414_m9_14 (B)	1.728	50	0	sensitive
SF12	AD415_m9_14 (B)	0.208	0.2	1	resistant
SF12	AD415_m9_14 (B)	0.208	1	0	sensitive
SF12	AD415_m9_14 (B)	0.208	50	0	sensitive
SF12	CRF02_AG_271 (CRF02_AG) XW	40	0.2	1	resistant
SF12	CRF02_AG_271 (CRF02_AG) XW	40	1	1	resistant
SF12	CRF02_AG_271 (CRF02_AG) XW	40	50	1	resistant
SF12	V703_0455_160	16.198	0.2	1	resistant
SF12	V703_0455_160	16.198	1	1	resistant
SF12	V703_0455_160	16.198	50	0	sensitive
SF12	V704_1109 (BF1)	20	0.2	1	resistant
SF12	V704_1109 (BF1)	20	1	1	resistant
SF12	V704_1109 (BF1)	20	50	1	resistant
SF12	1209_BM_A5	25	0.2	1	resistant
SF12	1209_BM_A5	25	1	1	resistant
SF12	1209_BM_A5	25	50	1	resistant
VRC01	98050	0.188	0.2	0	sensitive
VRC01	98050	0.188	1	0	sensitive
VRC01	98050	0.188	50	0	sensitive
VRC01	AD17 (B) XW	0.317	0.2	1	resistant
VRC01	AD17 (B) XW	0.317	1	0	sensitive
VRC01	AD17 (B) XW	0.317	50	0	sensitive
VRC01	AD355_m2_1 (B)	1.139	0.2	1	resistant
VRC01	AD355_m2_1 (B)	1.139	1	1	resistant
VRC01	AD355_m2_1 (B)	1.139	50	0	sensitive
VRC01	AD358_m2_1 (B)	2.463	0.2	1	resistant
VRC01	AD358_m2_1 (B)	2.463	1	1	resistant
VRC01	AD358_m2_1 (B)	2.463	50	0	sensitive
VRC01	AD360_m6_22 (B)	0.769	0.2	1	resistant
VRC01	AD360_m6_22 (B)	0.769	1	0	sensitive
VRC01	AD360_m6_22 (B)	0.769	50	0	sensitive
VRC01	AD414_m9_14 (B)	0.069	0.2	0	sensitive
VRC01	AD414_m9_14 (B)	0.069	1	0	sensitive
VRC01	AD414_m9_14 (B)	0.069	50	0	sensitive
VRC01	AD415_m9_14 (B)	0.248	0.2	1	resistant
VRC01	AD415_m9_14 (B)	0.248	1	0	sensitive
VRC01	AD415_m9_14 (B)	0.248	50	0	sensitive
VRC01	CRF02_AG_271 (CRF02_AG) XW	0.069	0.2	0	sensitive
VRC01	CRF02_AG_271 (CRF02_AG) XW	0.069	1	0	sensitive
VRC01	CRF02_AG_271 (CRF02_AG) XW	0.069	50	0	sensitive
VRC01	V703_0455_160	20	0.2	1	resistant
VRC01	V703_0455_160	20	1	1	resistant
VRC01	V703_0455_160	20	50	1	resistant
VRC01	V704_1109 (BF1)	3.21	0.2	1	resistant
VRC01	V704_1109 (BF1)	3.21	1	1	resistant
VRC01	V704_1109 (BF1)	3.21	50	0	sensitive
VRC01	1209_BM_A5	25	0.2	1	resistant
VRC01	1209_BM_A5	25	1	1	resistant
VRC01	1209_BM_A5	25	50	1	resistant
